Authors,Title,Year,Author Keywords,Abstract,Document Type,ID
"Yadav P., Chandak R.",Transforming the Know Your Customer (KYC) Process using Blockchain,2019.0,Banking; Blockchain; Distributed Ledger Technology; Financial Technology; KYC,"A major yet trivial problem in the banking industry right now is how tedious and costly the traditional Know-Your-Customer(KYC) process is. The process is also tiresome for customers as they need to undergo the same process for each bank or financial institution with which they intend to work. Personal experiences of people dictate the cumbersome nature of the process, thereby demanding an efficacious alternative. Through this paper, we intend to do exactly that. We propose a new solution based on Distributed Ledger Technology or Blockchain technology, which will reduce the traditional KYC verification process cost for Institutions and cut short the general time line of the completion of the process while making it smoother for the customers. Major enhancement in our solution over the conventional methods is that the whole verification process is conducted only once for each customer, irrespective of number of institutions he or she wishes to be linked to. Also, since we are using the DLT, verification results can be securely shared with the customers thereby increasing transparency. Following this approach, we developed a Proof of Concept (POC) with the Ethereum API, websites as endpoints and an android app as front office; realising the feasibility and effectiveness of this approach. All in all, this approach improves customer experience, reduces cost overheads, and increases transparency in the process of onboarding a customer. © 2019 IEEE.",Conference Paper,2-s2.0-85083040894
"Liu Y., Liu B., Chen Y.",Research on Image Recognition of Supermarket Commodity Based on Convolutional Neural Network,2019.0,Computer Vision; Convolutional Neural Network; Object Detection; YOLO v3,"For the actual shopping scenes in supermarkets, there will be more complex background environment, more diverse detection objects, and more changeable actual scenes, so the traditional image recognition network cannot meet the existing needs. In this paper, Convolutional Neural Network technology and YOLOv3 target detection algorithm are adopted to realize the recognition and detection of target objects in images, automated analysis and processing of these product image data with computer vision algorithms. The convolution neural network and COCO data set are used to train the neural network. Finally, the well-trained network is tested. Tested, the effect is good. © 2019 IEEE.",Conference Paper,2-s2.0-85089429740
"Kumari K., Mrunalini M., Kumar M., Talasila V., Dixit P.K.",Design Model for Energy Trading on Blockchain,2019.0,Blockchain (BC); Distributed Energy Resources (DER); Energy Trading; Hyperledger Composer Rest Server,"The Power Grid is the major area where the rapid and drastic transformations are taking place. While the innovations in the recent grid enables in the higher rate of utilization of control methods which are in the advanced state, the demands for the distributed energy resources (DER) is increased by the next-level grid in order to make the integration process less complicated. The consumers who also involve themselves in seamlessly buying and selling energy are also benefitted by distributed energy resources. Blockchain (BC) is the technology which appears to be best for providing security and trust in the area of Smart Grid, Future Business and Economic Competition around the world. This paper presents the Blockchain based architecture using Hyperledger Composer Rest Server for demonstrating peer-to-peer energy trading and also explain briefly the authentications of both producers and consumers involved in the transactions. The implementations are divided into two phases: Phase I discusses about the authentication of both the parties and Phase II describes the transactions of energy trading. This paper also provides the parties to view the reports of their transactions along with the blockchain history. © 2019 IEEE.",Conference Paper,2-s2.0-85089233518
"Xi R., Liu K., Liu S., Chen W., Li S.",Perishable digital goods trading mechanism for blockchain- based vehicular network,2019.0,Consortium blockchain; Digital goods; Internet of vehicles; Perishability; Stackelberg game,"Recently, Internet of Vehicles (IoV) equipped with autopilot technology show much concern in their quality of service (QoS), especially in how to ensure the quality of crowdsourcing data for QoS. It is an open issue to encourage high-quality data to be sold as digital goods. Although existing works manage to design incentive mechanisms in data trading for IoV, they fail to address the trust problem. The blockchain technology has been widely studied to establish trust among participants, however, little is currently known about the perishability in the data market, which leads to the failure in explaining the price difference of digital goods. In this paper, we propose a perishability-oriented pricing mechanism to support perishable digital goods trading among IoVs. We also introduce consortium blockchain that provides distributed hyper ledger to address the trust issue in the market. By employing Stackelberg game theory, we obtain the optimal response of selfish users and providers. And finally, we propose a distributed algorithm to simulate our mechanism. Our experiment results demonstrate the efficiency of our distributed algorithm and prove the correctness and consistency of our mechanism. © 2019 IEEE.",Conference Paper,2-s2.0-85085483031
"Mathipriya B., Minhaj I., Rodrigo L.D.C.P., Abiylackshmana P., Kahandawaarachchi K.A.D.C.P.",Employee Readiness towards Artificial Intelligence in Sri Lankan Banking Context,2019.0,Artificial Intelligence; People Readiness; Sri Lankan Banks; Workforce,"As technology improves an economy's performance, the changes it brings needs to be addressed. This Study focuses on how employees should be ready for the Artificial Intelligence implementations in banks. As Sri Lankan banks are still in the foundational level this study will make them aware of the current situation of what employees thinks of AI and whether they are ready to accept the technology or whether they are insecure about their job due to the change. Study have collected information through secondary sources and primary sources through a questionnaire. People readiness comprises of three variables, which are AI mind set, Employee skills, and their current job role. Based on the different factors analyzed, it can be seen that employees are ready to adopt AI in Sri Lankan banks but there are some restrictions, the employees are comfortable with the changes but they are insecure about their job. © 2019 IEEE.",Conference Paper,2-s2.0-85084403765
"Sakho S., Jianbiao Z., Essaf F., Badiss K.",Improving Banking Transactions Using Blockchain Technology,2019.0,banking; blockchain; cloud microservices; transaction,"Today, the majority of banks offer many different online services to their customers and our study case will focus specifically on domestic and international banking transactions. By doing these services, these banks use enough time to conduct bank transactions from one bank account to another, some of which take more than a week, under a security that does not fully respect the privacy of operators and under the mercy of certain third party's services. Unfortunately, these banks face the limitations of payment systems (such as SWIFT, SEPA, and union pay) for international transactions and other banking exchange services. To remedy these problems of third-party trust, exaggerated latency, payment of high transaction fees, problems of theft and falsification of banking information, we will set up a storage and bank exchange platform, based on a private and confidential blockchain. In this platform, a number of authorized users will be able to hold and operate the nodes that will support the network. Nowhere in the world is there a system that directly connects banks, currencies and financial institutions without a trusted third party. In our case, these sworn users are banks. This platform will eliminate the presence of the trusted third party which is the third entity through which the various transactions and banking information must pass. To begin with, our platform will eliminate third-party trust, promote user-user transactions and then store bank transaction information in the blockchain. Our blockchain platform will allow users to make secure and confidential transactions at a lower cost and without a foreign exchange ban due to a maximum amount not to exceed as with the case of banks. © 2019 IEEE.",Conference Paper,2-s2.0-85084074997
"Gupta T., Gupta N., Agrawal A., Agrawal A., Kansal K.",Role of Big Data Analytics in Banking,2019.0,BDA; Big data; online banking; raw data,"Big data analytics is one of the IT industries trending and popular field. As the population is increasing at a constant rate, it will also in turn lead to increase in the volume of the data which we refer it as big data. Nowadays, various organizations or industries (like banking, e-commerce, insurance, etc.) are working on analyzing this big data by dividing the raw data in several fractions so that these sectors can facilitate their customers by analyzing each fraction efficiently. Analysis of big data help these industries in various fields like, money movements, threats, disasters, etc. Nowadays, online banking is one of the general service which was provided to all the customer. As the e-Transactions are increasing due to online banking facilities risks of fraud is also increased, so big data analytics also helpful in determining the detection of fraud. Every banking industry generates crucial data from the customer which needs to be stored and analyzed effectively using big data analytic methods to get the necessary insights for banking organizations. Nowadays banking industry start working on analyzing big data to attain goals of marketing. Hence, use of BDA in India would help banks in generating the actions which would help in making the future decisions more effective and stay at peak in business and competition. © 2019 IEEE.",Conference Paper,2-s2.0-85083575446
"Ariffin N., Ismail A.Z.",The Design and Implementation of Trade Finance Application based on Hyperledger Fabric Permissioned Blockchain Platform,2019.0,asynchronous; permissioned blockchain; smart contract; software connector; trade finance,"Blockchain has grown beyond cryptocurrency. It has found a sweet spot in applications that required increased trust and transparency among multi-party transactions. This paper describes our experience in the design, implementation and architecture of blockchain-based trade finance application. The implementation is based on permissioned blockchain Hyperledger Fabric. Recently, the number of projects embarked on blockchain application have grown significantly over the year. However, the current level of understanding of blockchain application is insufficient and the architectural aspects of the system has remained largely unexplored. This paper attempts to solve this problem. It applies the concept of software connectors as a medium to explore fundamental building blocks of software interaction and how they are composed into a more complex interaction. © 2019 IEEE.",Conference Paper,2-s2.0-85083324547
"Gayathri S., Mohana R.S.",Optical Character Recognition in Banking Sectors Using Convolutional Neural Network,2019.0,Character recognition; Convolution neural network; Segmentation and extraction,"Optical Character Recognition is to changing computerized pictures or content into machine editable content and also recognizes the text within a digital image. It is very useful in banking sectors. Till now, Bank deposit slips are processed manually every day in all the banks, it takes a long time. The proposed approach is to recognize the handwritten digits and characters from the bank deposit slip using deep learning techniques. It makes all the banking processes and transactions faster. The handwritten digits and characters such as account holder name, account number and date are segmented by image processing techniques. The segmented character and digits are fed to the CNN model. The model recognizes the digit and character from the deposit slip. The Proposed model delivers better recognition accuracy. © 2019 IEEE.",Conference Paper,2-s2.0-85083033499
"Gavriushina I., Sampson O., Berthold M.R., Pohlmeier W., Borgelt C.",Widened learning of index tracking portfolios,2019.0,Algorithmic trading; Diversity; FinTech; Heuristic search; Index tracking; Machine learning; Parallelism; Time-series; Tracking portfolio; Widening,"Index investing has an advantage over active investment strategies, because less frequent trading results in lower expenses, yielding higher long-term returns. Index tracking is a popular investment strategy that attempts to find a portfolio replicating the performance of a collection of investment vehicles. This paper considers index tracking from the perspective of solution space exploration. Three search space heuristics in combination with three portfolio tracking error methods are compared in order to select a tracking portfolio with returns that mimic a benchmark index. Experimental results conducted on real-world datasets show that Widening, a metaheuristic using diverse parallel search paths, finds superior solutions than those found by the reference heuristics. Presented here are the first results using Widening on time-series data. © 2019 IEEE.",Conference Paper,2-s2.0-85080947767
Park D.-H.,Virtuality changes consumer preference: The effect of transaction virtuality as psychological distance on consumer purchase behavior,2019.0,Construal level theory; Digital money; FinTech; Psychological distance; Virtuality,"With the rapid development of information and communication technology, a variety of new industries and services are rapidly evolving based on the convergence between existing Information and Communication Technology (ICT) and heterogeneous industries. In the meantime, the FinTech market, created by the convergence of financial and ICT areas, is emerging and growing rapidly. The new market of virtual transaction based on digital money is growing faster than any other FinTech area. The purpose of this study is to determine whether the perceived difference in the virtuality of a consumer's transaction affects the consumer's purchasing behavior and how the behavior changes. Specifically, this study revealed that consumers' perceived virtuality differs according to the type of transaction method. Consumers felt that the money was more virtual when they had digital (virtual) currency for a service than when they had cash. This virtuality of money controls the psychological distance of the consumer's money, which is closer to cash than virtual currency. This difference in psychological distance affects consumers' information processing, such that when psychological distances are far (vs. close), consumers prefer products that are described as abstract (vs. concrete), and have a more favorable attitude toward products with more variety. © 2019 by the author.",Article,2-s2.0-85076562941
"Jagtiani J., Lemieux C.",The roles of alternative data and machine learning in fintech lending: Evidence from the LendingClub consumer platform,2019.0,alternative data; fintech; LendingClub; marketplace lending; P2P lending; peer-to-peer lending; shadow banking,"There have been concerns about the use of alternative data sources by fintech lenders. We compare loans made by LendingClub and similar loans that were originated by banks. The correlations between the rating grades (assigned by LendingClub) and the borrowers’ FICO scores declined from about 80% (for loans originated in 2007) to about 35% for recent vintages (originated in 2014–2015), indicating that nontraditional data (not already accounted for in the FICO scores) have been increasingly used by fintech lenders. The rating grades perform well in predicting loan default. The use of alternative data has allowed some borrowers who would have been classified as subprime by traditional criteria to be slotted into “better” loan grades, allowing them to obtain lower priced credit. © 2019 Financial Management Association International",Article,2-s2.0-85074764134
"Bansal G., Hasija V., Chamola V., Kumar N., Guizani M.",Smart stock exchange market: A secure predictive decentralized model,2019.0,Blockchain; Commerce; FinTech; Machine Learning; Stock Exchange,"Stock exchanges around the world are exploring the best possible solution that can improve trading efficiency, lower the risks and tighten secu- rity levels. The working and functioning of a stock exchange involves very hectic and cumbersome pro- cedures which are time consuming, cost inefficient and can be prone to numerous risks. Machine learning and Blockchain are most popular upcoming technologies. In this paper we present a novel secure and de- centralized intelligent stock market prediction model. We present a blockchain based solution for stock exchange model that uses machine learning accessible smart contracts. The machine learning model makes a prediction on the future of the stock market providing an intelligent solution for secure stock market. © 2019 IEEE.",Conference Paper,2-s2.0-85074647993
"Xu M., Chen X., Kou G.",A systematic review of blockchain,2019.0,Blockchain; Business and economics; CiteSpace; Systematic literature review,"Blockchain is considered by many to be a disruptive core technology. Although many researchers have realized the importance of blockchain, the research of blockchain is still in its infancy. Consequently, this study reviews the current academic research on blockchain, especially in the subject area of business and economics. Based on a systematic review of the literature retrieved from the Web of Science service, we explore the top-cited articles, most productive countries, and most common keywords. Additionally, we conduct a clustering analysis and identify the following five research themes: “economic benefit,” “blockchain technology,” “initial coin offerings,” “fintech revolution,” and “sharing economy.” Recommendations on future research directions and practical applications are also provided in this paper. © 2019, The Author(s).",Review,2-s2.0-85068799487
"Alwi S., Alpandi R.M., Salleh M.N.M., Basir I.N., Ariff F.F.M.",An empirical study on the customers’ satisfaction on fintech mobile payment services in malaysia,2019.0,Assimilation theory; Contrast theory; Customer satisfaction; Dissonance theory; Fintech; Fintech mobile payment services,"The financial industry has been a competitive industry as financial institutions are providing almost similar products and services. This results them in competing based on service quality. In addition to that, the fast evolution in technology has cause Fintech application mobile to be introduced in Malaysia. Thus, this research will look into the several factors affecting customer satisfaction in Malaysia where ease of use, Security & Privacy, Information Presentation, Convenience and Lastly Service Quality will be taken into account by applying variable associated to the integration Theory of Dissonance, Assimilation and Contrast. This paper is a quantitative study where data are collected through online questionnaires. The results of the Pearson correlation analysis have shown that Security and Privacy (SP) is the strong influential factor of customer satisfaction towards Fintech mobile payment services followed by Service Quality (SQ), Information Presentation (IP) and Ease of Use (EOU). Therefore, financial institutions in Malaysia can enhance the security and privacy level or create awareness among their customers by giving and insight or explanation on the security level as well as privacy. © 2019 SERSC.",Article,2-s2.0-85080140938
"Dai S., Taube M.",The long tail thesis: Conceptualizing China’s entrepreneurial practices in Fintech and electric vehicles,2019.0,Fintech; Long tail markets; Low-speed electric vehicles,"Purpose: This paper aims to explore the functionality of long tail markets (LTM), where the consumers cannot be reached or are ignored by the traditional mainstream businesses, in new products and business development. Design/methodology/approach: First, the authors review two Chinese entrepreneurial practices in the Fintech sector and low-speed electric vehicles (LSEV) and describe their stylized facts; second, they explore a possible theoretical LTM framework to underscore these practices; third, they make a connection between LTM and existing business models and analyze its significance and practical implications in business, in particular, in developing economies. Findings: The LTM business approach has helped Chinese companies in the Fintech sector and LSEVs gain global attention. The success factors of LTM for businesses are identifying a specific customer base, being aware of localization products and playing skillfully with regulations; the LTM approach has several overlaps with existing studies on niche products and base of the pyramid market. Originality/value: Based on some emerging and attractive business practices in China, this paper offers a valuable attempt to theorize them as long tail phenomenon. The LTM thesis provides a potential framework to reference for similar methods elsewhere and may illuminate entrepreneurship to be explored in similar markets. © 2019, Emerald Publishing Limited.",Article,2-s2.0-85076037722
Brophy R.,Blockchain and insurance: a review for operations and regulation,2019.0,Blockchain; Compliance; FinTech; Insurance; Regulation; Sandbox,"Purpose: The purpose of this paper is to examine the operational and regulatory positions of the employment of Blockchain in the insurance industry. Blockchain technology has attracted wide interest from various stakeholders. Many theorists are predicting that this technology will disrupt financial services, including insurance. As stated that the development of blockchain is dependent on regulatory acceptance of this technology, it is essential to establish the current state of play with regard to the application and use of blockchain from a commercial and regulatory standpoints. Design/methodology/approach: This review encompasses a number of approaches to view the current status of Blockchain applications. From a commercial approach, this research lists the current applications of blockchain within the insurance industry. From a regulatory point of view, the current positions of the EU and national regulatory bodies are enquired upon to establish how they are examining FinTech and Blockchain technologies within their regulatory processes. Findings: This review illustrates a number of Blockchain applications in situ from a commercial point of view. From a regulatory setting and following a call from international and EU levels, it appears that various regulatory bodies have begun the process of formulating testing processes for FinTech applications. There are two predominant types in operation, while others are forming points of contact for advice for FinTechs and a small amount who have not begun the process at all. Research limitations/implications: This review illustrates the current state of play of blockchain in insurance from a commercial and regulatory point of view. While this has been observational, this review pulls together information from various sources to encapsulate the regulatory positioning of evaluating FinTech and Blockchain technologies for academia, regulatory and industry audiences. Originality/value: This review offers a central resource of information with regard to the current state of blockchain technologies in operation and regulatory approaches to this and other FinTech developments. © 2019, Emerald Publishing Limited.",Review,2-s2.0-85076130553
"Yang W.-C., Ting L.-Y.",Embedded authentication and blockchain in micro-course,2019.0,Blockchain; Public key authentication; RSA cryptosystem,"The decentralization and consensus of blockchain provide the network trust and data certification of a low cost. In addition to financial technology, it has also attracted widespread attention in many applications. In this paper, we discuss on the design of the micro-course certification in university. The proposed architecture is suitable for the integration of school information systems and enhances the trust and micro-course elective. Unlike general blockchain applications, micro-course certification must be provided by a university-approved teacher or staff, thus it is important for their authentication. In this application, the password authentication is not secure enough, and the cost of public key certification is too high. Therefore, we use the authenticated public key technology of the RSA system technology, the authenticated data is the predetermined portion and embedded to RSA public key, such that the authenticated certifier and effective period can be directly provided by RSA public key. In comparison with traditional RSA, we only modified the key generation and the other part of RSA cryptosystem are all the same. This combination of blockchain and public key authentication can achieve a secure and easy-to-use micro-course certification system. © 2019 Association for Computing Machinery.",Conference Paper,2-s2.0-85078332118
"Alwi S., Salleh M.N.M., Razak S.E.A., Naim N.",Consumer acceptance and adoption towards payment-type fintech services from Malaysian perspective,2019.0,Consumers’ acceptance; Consumers’ adoption; Fintech; Innovation diffusion theory; Payment-type Fintech service; Technology acceptance model,"Fintech is touted as a new paradigm in which information technology is driving thetransformation and innovation in the financial services industry. Fintech is evolving at a rapid speed, driven by favorable regulation, information technology and led by the consumer’s acceptance and adoption whose keen for cost reduction and improved quality of financial services. This paper conducted a descriptive analysis on consumer acceptancetowardspayment-type Fintech service by applying variables associated with Technology Acceptance Model and Diffusion of Technology. In addition, it analyzed the determinants of payment-type Fintech service adoption among Malaysian’s mobile user and the causal relationship between variables towards consumer decision in adopting payment-type Fintech service. Quantitative research and descriptive research are utilized.The outcome indicates all variable are significant except perceived ease of use and social influence. © 2019 SERSC.",Article,2-s2.0-85081333865
"Nastiti N.D., Kasri R.A.",The role of banking regulation in the development of Islamic banking financing in Indonesia,2019.0,Bank stimulus; Banking regulation; Islamic banking and finance; Islamic banking in Indonesia; Islamic financial technology,"Purpose: The 2015 global economic crisis has triggered the issuance of several banking regulations in Indonesia, including those related to temporary stimulus for Islamic banks and branchless banking (fintech). However, few studies attempt to evaluate the effectiveness of such regulations. Thus, this study aims to determine the role and assess the effectiveness of such banking regulations. Design/methodology/approach: The data used cover all 12 Islamic commercial banks in Indonesia during the stimulus period of Q3.2015 to Q2.2017. The variables included were banks’ fundamental factors (Islamic financing, capital adequacy ratio, investment, non-performing financing, return on asset, efficiency, financing deposit ratio and fintech) and macroeconomic variables (inflation, exchange rate and money supply). The model was analyzed by using multiple linear regressions with generalized least square estimation technique. Findings: The main finding suggests that the stimulus regulation indeed played a positive role in the acceleration of Islamic bank financing. However, the fintech-related regulation was not yet effective to achieve the goal, at least in the short term. Furthermore, the study found that return of assets, operational efficiency, financing deposit ratio and money supply also influenced Islamic financing. Practical implications: For policymakers, the effectiveness of the temporary stimulus in accelerating Islamic banking financing and preventing the possible negative impacts of the external crisis provides indications that the regulator could conduct similar policy in the future. More generally, the findings are also expected to enrich Islamic banking literature. Originality/value: This is possibly one of the few studies to investigate the role and effectiveness of banking regulations on Islamic banking financing in Indonesia. © 2019, Emerald Publishing Limited.",Article,2-s2.0-85074334098
Baber H.,Financial inclusion and FinTech: A comparative study of countries following Islamic finance and conventional finance,2019.0,Banking; Conventional finance; Finance; Financial inclusion; Findex; FinTech; Islamic finance,"Purpose: Using data from World Bank and Global Islamic Finance Report, this paper aims to compare the performance of countries following Islamic and conventional finance system in terms of financial inclusion and FinTech. Design/methodology/approach: Ten countries from both financial systems have been selected based on the presence of Islamic finance and conventional finance in the country. Data was analyzed from year 2011 to 2017 and keeping the former as base year to measure the change in the population fraction. Findings: The findings found that Islamic finance countries are more inclusive in terms of financial inclusion and women are financially more empowered as compared to the counterpart. On the contrary, countries with conventional finance have a higher number of FinTech users. Research limitations/implications: The difference between the performances of two systems in terms of financial inclusion is relatively small; therefore, future studies should incorporate more indicators for financial inclusion. Originality/value: This study will be useful for understanding the nature of both financial systems, and the further research can be done to find the determinants of financial inclusion. © 2019, Emerald Publishing Limited.",Article,2-s2.0-85075455833
"Choi D., Cheong M., Lee J.","Leadership influences? It depends on followers! The relationship between the Ohio State leader behaviors, employee self-regulatory focus, and task performance",2019.0,Citizenship behaviour; Creativity; Leader behaviour; Personality; Quantitative,"Purpose: While the Ohio State leadership approach had been forgotten for several decades, scholars in the field of leadership have begun revisiting the validity and the role of leader consideration and initiating structure. Building on self-expansion theory, this study suggest the effects of leader consideration and initiating structure on employee task performance. Also, integrating self-expansion theory and regulatory fit theory, the purpose of this paper is to propose and examine the moderating role of employee regulatory focus on the relationship between the Ohio State leadership behaviors and employee task performance, which was mediated by emloyees’ creative behavior as well as citizenship behavior. Design/methodology/approach: To test the hypothesized model of this study, cross-sectional data were collected using questionnaires. Pairs of survey packages, which included group-member surveys and a group-leader survey, were handed out to employees in organizations. The authors collected data from 47 groups and 143 group members in 25 private companies in the Republic of Korea, including from financial, technology, manufacturing, and research and development organizations. Findings: The results showed that leader consideration exerts significant effects on employee task performance. Also, the authors found the moderating role of employee regulatory promotion focus on the relationship between leader consideration/initiating structure and employee task performance, which were mediated by creative behavior and citizenship behavior. Originality/value: This study contributes to the advancement of the Ohio State leadership approach by integrating self-expansion theory and regulatory fit theory to investigate the distinct mechanisms and boundary conditions of its leadership process. The current study also contributes to the literature on extra-role behavior that the Ohio State leadership behavioral dimensions can be considered as one of the antecedents of employees’ creative and citizenship behavior. © 2019, Emerald Publishing Limited.",Article,2-s2.0-85074876760
"Buallay A., Cummings R., Hamdan A.",Intellectual capital efficiency and bank’s performance: A comparative study after the global financial crisis,2019.0,Conventional banks; GCC countries; Intellectual capital efficiency; Islamic banks; Performance,"Purpose: Intellectual capital (IC) plays a pivotal role in the high-tech and knowledge-based economic sectors. With the emergence of FinTech, which, with respect to the banking sector, is merging high-tech with the k-economy, there is an emerging need to highlight the importance and understand the dynamics of bank IC. With respect to Gulf Cooperation Council (GCC) economies, where FinTech has become de rigueur, banking is bifurcated into Islamic and banking sectors. Through comparative empirical analysis, the purpose of this paper is to examine IC efficiency in Islamic and conventional banks with a view to elucidating the impact of IC, in aggregate and decomposed into its components, on an operational, financial and market performance of Islamic banks juxtaposed with conventional banks. Design/methodology/approach: Using data collected from 59 banks for five years (2012-2016) involving 295 observations, an independent variable derived from the modified value added IC (MVAIC) components are regressed against dependent bank performance indicator variables [Return on Assets (ROA), Return on Equity (ROE) and Tobin’s Q (TQ)]. Two types of control variables complete the regression analysis in this study: bank-specific and macroeconomic. Findings: The findings elicited from the empirical results demonstrate that there is positive relationship between IC efficiency and financial performance (ROE) and market performance (TQ) in Islamic banks. In conventional banks, however, there is a positive relationship between IC and operational performance (ROE) and financial performance (ROE). Originality/value: The model in this paper presents a valuable analytical framework for exploring IC efficiency as a driver of performance in dual-sector banking economies characterized by co-existence of Islamic and conventional financial institutions. In addition, this paper highlights bank management lacunae manifesting in terms of the weak nexus between: IC and asset efficiency (ROA) in Islamic banks and IC and market value (TQ) in conventional banks. © 2019, Emerald Publishing Limited.",Article,2-s2.0-85074456769
"Jiang S., Qiu S., Zhou H., Chen M.",Can fintech development curb agricultural nonpoint source pollution?,2019.0,Agricultural NPS pollution; China; FinTech; Structural effect; Threshold model,"The green development of FinTech empowerment has become a compelling theme in economic development. In this study, based on the weighted least squares (WLS) and threshold regression methods of cross-sectional data, we empirically examine the impact of FinTech development on agricultural nonpoint source (NPS) pollution, a major cause of impaired surface water quality. Our results show that there is an inverted “U” shape relationship between the development of FinTech and agricultural NPS pollution. That is, after crossing a “threshold value”, the level of FinTech development can curb agricultural NPS pollution. At the structural level, the availability of FinTech services, the FinTech infrastructure, and the agricultural NPS pollution also have an inverted “U” shape relationship. At the threshold effect, in the developing stage of an agricultural economy, the overall level of FinTech development, the use of FinTech services, the availability of FinTech services, and the FinTech infrastructure have an inverted “U” shape relationship with agricultural NPS pollution. On the other hand, in the developed stage of an agricultural economy, the impact of FinTech development and its structure on agricultural NPS pollution is insignificant. Hence, we can conclude that FinTech development can help reduce agricultural NPS pollution in under-developed regions. However, due to the fact that a “U” shape relationship always exists between FinTech service quality and agricultural NPS pollution, the quality of FinTech service should be the main focus to reduce agricultural NPS pollution more effectively. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.",Article,2-s2.0-85074636704
"Vijayanto R.M., Devyana, Wang G.",Enhancing is risk assessment through using combination vector matrix and octave methods,2019.0,Financial Technology; Information Security; OCTAVE Allegro; Risk Assessment; VECTOR Matrix,"Information System (IS) is an asset for an organization so that its application must be protected properly. It is important in the business environment to work with the internet and where information sent and received has more types of threats and vulnerabilities. This paper wants to discuss two methods for assessing information system security risks in financial technology institutions. The methods to be discussed are the VECTOR Matrix method and the OCTAVE Allegro method. The VECTOR method is a security risk assessment method used to prioritize critical risks. While the method for carrying out a more detailed level of security risk analysis, it is recommended to use the OCTAVE Allegro approach. What IS security practices can learn is the reason for choosing the VECTOR Matrix and OCTAVE Allegro method. That these two methods are complementary during the information security risk assessment process in the business environment. © 2019, World Academy of Research in Science and Engineering. All rights reserved.",Article,2-s2.0-85077610867
"Deng X., Huang Z., Cheng X.",FinTech and sustainable development: Evidence from China based on P2P data,2019.0,Consumption emission; Economic growth; Environmental governance; Financial technology; Peer-to-peer; Social development; Sustainable development,"In the current international context, the ways in which financial technology (FinTech) affects sustainable development need to be urgently identified. However, relevant studies are rare and there is no consensus on the optimal indicator system for sustainable development. Therefore, this study proposes an indicator system to evaluate sustainability and conducts in-depth analysis of the relationship between FinTech and sustainable development based on data of peer-to-peer platforms (P2P) in 31 Chinese provinces. The empirical results show the existence of a U-shaped relationship between FinTech and sustainable development, mainly determined by the pattern of extensive economic growth. Furthermore, heterogeneity analysis indicates that there are significant regional differences in its impact on sustainable development, being significant in China's eastern and central regions and insignificant in the western region; moreover, the impact on the central region is significantly higher than that on the eastern region. Our research not only has strong practical significance but also contributes significantly to the literature on FinTech and sustainable development. © 2019 by the authors.",Article,2-s2.0-85075854386
Ravikumar T.,Digital financial inclusion: A payoff of financial technology and digital finance uprising in India,2019.0,Digital finance; Digital financial inclusion; Digital financial products and services; Financial inclusion; Financial system; Fintech; India,"Technological inventions and innovations paved a way for upheaval in the financial market. New technologies such as the internet, artificial intelligence, machine learning, big data, biometric identification, and blockchain technology brought new financial technologies (Fintechs) namely Unified Payment Interface, Immediate Payment System, and Mobile Money into existence. As a result of the development of Fintechs, digital finance companies and digital financial services and products emerged and got well-liked among the people because of their convenient, speedy, simple, and user-friendly functions. In fact, digital finance companies work a mile further, in the name of digital financial inclusion, by serving excluded, marginalized, neglected individuals and Small and Medium Enterprises through their innovative, affordable, quality, and speedy digital financial services and products. This article focuses on Fintechs, digital finance, and their role in digital financial inclusion in India using the existing sources of the World Bank, Reserve Bank of India, National Payment Corporation of India, and United Nations Organizations. © IJSTR 2019.",Article,2-s2.0-85075428187
"Sangwan V., Harshita, Prakash P., Singh S.",Financial technology: a review of extant literature,2019.0,Big data; Blockchain; Crowdfunding; Cryptocurrency; Entrepreneurial finance; FinTech; ICOs; Innovation; P2P lending; Regtech; Regulatory sandbox; Shadow banking,"Purpose: This paper aims to undertake a thematic review of academic papers on financial technology (FinTech) to identify three broad categories for the purpose of classifying extant literature. The paper summarizes the research and findings in this emerging field. Thereafter, it identifies the gaps and provides directions for further research. Simultaneously, the paper collates technical terms related to FinTech that appear repeatedly in each category and explains them. Finally, the study highlights the lessons that growing FinTech firms and their regulators can learn from the experiences of their counterparts across the globe. Design/methodology/approach: A systematic review of literature consisting of 130 studies (social science research network [SSRN]-29 papers, Scopus-81, other sources-20) on FinTech is carried out in this thematic paper. Findings: This thematic paper divides FinTech into three themes, i.e. financial industry, innovation/technology and law/regulation. The paper suggests that a thorough impact of FinTech on various stakeholders can be understood using three dimensions, namely, consumers, market players and regulatory front. It is noted that FinTech is in its nascent phase and is undergoing continuous development and implementation through product and process innovation, disruption and transformation. Research limitations/implications: The paper reports that FinTech promises huge potential for further study by various stakeholders in the FinTech industry – from academia to practitioners to regulators. Practical implications: The paper summarizes lessons that could be of significance for FinTech users, producers, entrepreneurs, investors, policy designers and regulators. Originality/value: The paper is believed to add value to the understanding of FinTech in light of the emerging threats and opportunities for its various stakeholders. © 2019, Emerald Publishing Limited.",Review,2-s2.0-85074897787
